fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,unused3,unused4,unused5,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused6,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused7,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused8,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel
19,US,IA,,state,,iso1:us#iso2:us-ia,,3155070,,other,26.8,,1.14,0.1,,,,,,0.7,3,4,3,4,2,,0,816588,9782,713426,4928955,403,6972,4550,246,,545,379,22,,1733,7234455,2167017,1973709,2022-07-28,https://covidactnow.org/us/iowa-ia,0.687,0.626,23,5316834,3,1073363,0.34,187.8,,,,,,,,,0.035,,337,,10.7,,1
16,US,ID,,state,,iso1:us#iso2:us-id,,1787065,0.15,other,28.3,,1.01,0.1,,,,,,0.72,3,2,3,4,1,,1,477807,5030,613744,2761890,250,2852,2052,169,,257,184,19,,1423,3765990,1117949,1001141,2022-07-28,https://covidactnow.org/us/idaho-id,0.626,0.56,10,2599811,3,443404,0.248,198.0,,,,,,,,,0.059,,240,,13.4,,1
17,US,IL,,state,,iso1:us#iso2:us-il,,12671821,0.128,other,38.7,,1.04,0.1,,,,,,0.64,3,2,3,4,1,,0,3556908,38847,3222282,45757350,3800,27800,19701,1478,,3084,1965,123,,2644,29623645,9716067,8772684,2022-07-28,https://covidactnow.org/us/illinois-il,0.767,0.692,17,23474386,3,4735110,0.374,270.8,,,,,,,,,0.053,,1621,,12.8,,2
18,US,IN,,state,,iso1:us#iso2:us-in,,6732219,0.265,other,33.6,,1.13,0.1,,,,,,0.71,3,3,3,4,2,,1,1822900,24063,1757577,12460756,1600,15207,11148,800,,2038,1453,103,,6623,14603780,4228720,3807779,2022-07-28,https://covidactnow.org/us/indiana-in,0.628,0.566,0,10166418,3,1834091,0.272,235.5,,,,,,,,,0.053,,852,,12.7,,2
20,US,KS,,state,,iso1:us#iso2:us-ks,,2913314,0.239,other,37.8,,1.18,0.1,,,,,,0.73,3,3,3,4,2,,1,835564,8986,684501,4967793,359,8174,4793,277,,805,591,32,,7242,6596115,2142332,1829395,2022-07-28,https://covidactnow.org/us/kansas-ks,0.735,0.628,0,4718365,3,835049,0.287,264.3,,,,,,,,,0.034,,426,,14.6,,2
21,US,KY,,state,,iso1:us#iso2:us-ky,,4467673,0.202,other,59.7,,1.47,0.1,,,,,,0.75,3,3,3,4,3,,1,1467278,16352,1270335,8566286,1240,11360,8613,712,,1304,979,97,,443,9625975,2992944,2593203,2022-07-28,https://covidactnow.org/us/kentucky-ky,0.67,0.58,0,6747393,3,1186091,0.265,418.2,,,,,,,,,0.063,,743,,16.6,,2
22,US,LA,,state,,iso1:us#iso2:us-la,,4648794,0.245,other,45.3,,0.95,0.1,,,,,,0.74,3,3,3,4,1,,1,1372134,17553,991394,10072833,800,12541,8902,610,,1432,1056,104,,2071,8840350,2870220,2514436,2022-07-28,https://covidactnow.org/us/louisiana-la,0.617,0.541,8,6453138,3,1035122,0.223,317.0,,,,,,,,,0.049,,1024,,22.0,,2
25,US,MA,,state,,iso1:us#iso2:us-ma,,6892503,0.081,other,23.9,,1.17,0.1,,,,,,0.82,2,1,2,4,2,,2,1955844,21127,1914629,42483558,2350,16268,13993,664,,1190,978,49,,11525,18236110,6921724,5530303,2022-07-28,https://covidactnow.org/us/massachusetts-ma,0.95,0.802,0,15543791,3,2937163,0.426,167.2,,,,,,,,,0.041,,790,,11.5,,1
24,US,MD,,state,,iso1:us#iso2:us-md,,6045680,0.127,other,26.9,,1.05,0.1,,,,,,0.65,3,2,3,4,1,,0,1175786,14962,1985436,20732096,1400,10555,8618,795,,1242,809,51,,1663,17318570,5326046,4636064,2022-07-28,https://covidactnow.org/us/maryland-md,0.881,0.767,20,12711866,3,2491649,0.412,188.3,,,,,,,,,0.075,,576,,9.5,,0
23,US,ME,,state,,iso1:us#iso2:us-me,,1344212,0.082,other,15.2,,1.0,0.1,,,,,,0.67,2,1,2,4,1,,0,275238,2465,244718,3938506,86,2887,2113,131,,321,214,23,,250,3738750,1242555,1085513,2022-07-28,https://covidactnow.org/us/maine-me,0.924,0.808,0,3003998,3,627353,0.467,106.1,,,,,,,,,0.045,,88,,6.5,,0
26,US,MI,,state,,iso1:us#iso2:us-mi,,9986857,0.201,other,28.1,,1.19,0.1,,,,,,0.77,3,3,3,4,2,,1,2672312,37428,2811137,23248016,1000,20732,16773,961,,2315,1794,80,,7429,23113510,6752556,6066423,2022-07-28,https://covidactnow.org/us/michigan-mi,0.676,0.607,43,16425268,3,3368863,0.337,196.8,,,,,,,,,0.046,,955,,9.6,,0
27,US,MN,,state,,iso1:us#iso2:us-mn,,5639632,0.153,other,24.1,,1.23,0.1,,,,,,0.77,2,2,2,4,2,,1,1580508,13242,2025719,21018115,1028,9194,7718,473,,825,638,32,,9500,13858330,4293290,3941726,2022-07-28,https://covidactnow.org/us/minnesota-mn,0.761,0.699,0,10855010,3,2345420,0.416,168.5,,,,,,,,,0.051,,496,,8.8,,0
29,US,MO,,state,,iso1:us#iso2:us-mo,,6137428,0.371,other,33.6,,0.94,0.1,,,,,,0.76,3,3,3,4,1,,1,1571818,21071,1657215,11118522,94,14521,11724,1087,,1661,1257,144,,596,12534405,4119132,3491007,2022-07-28,https://covidactnow.org/us/missouri-mo,0.671,0.569,1,9297738,3,1541915,0.251,235.2,,,,,,,,,0.075,,1053,,17.2,,2
69,US,MP,,state,,iso1:us#iso2:us-mp,,53605,,other,141.0,,1.04,0.19,,,,,,,5,4,5,4,1,,4,12763,37,1161,57944,10,,,,,,,,,0,132230,45797,43461,2022-07-28,https://covidactnow.org/us/northern_mariana_islands-mp,0.854,0.811,0,111089,3,21930,0.409,986.8,,,,,,,,,,,,,,,
