fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused3,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused4,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused5,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel
35700,US,,,cbsa,,iso1:us#cbsa:35700,,46498,0.388,other,63.9,,1.32,0.29,,,,3,3,3,4,2,,4,17713,234,,,,25,4,1,,,,,,208,,41346,37441,2022-07-28,,,,2,74640,3,,,447.3,,,2221,1677,76,285,166,9,0.037,,8,86,8.8,,1
35740,US,,,cbsa,,iso1:us#cbsa:35740,,48167,,other,36.2,,1.09,0.45,,,,3,4,3,4,1,,4,12126,102,,,,,,,,,,,,89,,22954,20729,2022-07-28,,0.477,0.43,0,,3,10964,0.228,253.3,,,286,165,15,29,18,10,0.055,,,12,15.7,,2
35820,US,,,cbsa,,iso1:us#cbsa:35820,,36156,0.37,other,36.0,,0.93,0.41,,,1.0,3,3,3,4,1,,3,9563,121,,,,54,52,3,,2,2,1,,59,,13264,11978,2022-07-28,,0.367,0.331,0,,3,7586,0.21,251.7,,,207,140,8,7,5,2,0.057,,6,12,16.5,,2
35840,US,,,cbsa,,iso1:us#cbsa:35840,,836995,0.249,other,43.2,,1.22,0.1,,,0.76,3,3,3,4,2,,1,211968,3222,,,,2027,1671,181,,188,142,14,,5067,,656894,560229,2022-07-28,,0.785,0.669,0,,3,273936,0.327,302.7,,,2766,2084,214,253,184,18,0.079,,217,257,22.6,,2
35860,US,,,cbsa,,iso1:us#cbsa:35860,,27735,0.239,other,36.6,,1.13,0.62,,,,3,3,3,4,2,,4,7289,111,,,,8,5,0,,,,,,40,,12849,11636,2022-07-28,,0.463,0.42,0,,3,5054,0.182,256.0,,,310,195,11,36,24,2,0.038,,7,21,11.0,,2
35900,US,,,cbsa,,iso1:us#cbsa:35900,,68412,0.213,other,45.1,,1.16,0.31,,,0.82,3,3,3,4,2,,2,19234,276,,,,112,55,5,,8,6,0,,216,,34488,32136,2022-07-28,,0.504,0.47,0,,3,15868,0.232,315.7,,,112,55,5,8,6,0,0.039,,6,6,5.8,,1
35940,US,,,cbsa,,iso1:us#cbsa:35940,,58266,0.285,other,32.9,,0.87,0.41,,,0.65,3,3,3,4,0,,0,15430,224,,,,63,41,1,,4,3,0,,0,,29696,28232,2022-07-28,,0.51,0.485,0,,3,14459,0.248,230.0,,,932,554,40,119,55,3,0.047,,9,61,14.4,,2
35980,US,,,cbsa,,iso1:us#cbsa:35980,,265206,0.118,other,31.9,,1.15,0.17,,,0.86,3,2,3,4,2,,3,63860,688,,,,430,318,21,,37,32,1,,135,,252355,212202,2022-07-28,,0.95,0.8,0,,3,114719,0.433,223.2,,,2317,2021,66,174,149,3,0.027,,36,85,6.1,,1
36020,US,,,cbsa,,iso1:us#cbsa:36020,,85141,0.109,other,15.8,,0.91,0.41,,,0.93,2,2,2,4,1,,3,12038,91,,,,25,15,0,,2,1,0,,25,,74880,64519,2022-07-28,,0.879,0.758,1,,3,35584,0.418,110.4,,,5190,4479,366,584,437,38,0.072,,5,347,10.5,,1
36100,US,,,cbsa,,iso1:us#cbsa:36100,,365579,0.223,other,42.4,,1.29,0.1,,,0.88,3,3,3,4,2,,3,91587,2172,,,,832,713,87,,118,103,10,,2172,,238520,210532,2022-07-28,,0.652,0.576,0,,3,100562,0.275,297.1,,,1164,945,122,158,138,16,0.101,,127,162,33.2,,2
